Number,AreaName,Name,NomkV,Vpu,kV,Vangle,LoadMW,LoadMvar,GenMW,GenMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneName,ZoneNumber,Substation Longitude,Substation Latitude
41293,South,PREMONT 0,115.0,1.02472,117.843,-56.33,18.51,5.25,,,,0,0,4,Laredo,20,-98.487692,27.62325578
41303,South,FREER 0,115.0,1.02,117.3,-57.78,9.48,2.69,,,21.75,0,0,4,Laredo,20,-98.61997,27.82636727
41313,South,PEARSALL 0,230.0,1.02,234.6,-50.63,,,,,61.98,0,0,4,Laredo,20,-99.0739,28.90701756
41323,South,PEARSALL 1,115.0,1.01801,117.071,-51.57,33.09,9.38,,,,0,0,4,Laredo,20,-99.0559,28.91647149
41333,South,PEARSALL 2,20.0,1.02,20.4,-50.63,,,0.0,0.0,,0,0,4,Laredo,20,-99.0793,28.91001138
41343,South,PEARSALL 3,20.0,1.01467,20.293,-49.79,,,10.21,-3.73,,0,0,4,Laredo,20,-99.0793,28.90685997
41353,South,PEARSALL 4,20.0,1.01507,20.301,-49.83,,,10.21,-3.73,,0,0,4,Laredo,20,-99.0793,28.90370845
41363,South,PEARSALL 5,20.0,1.01337,20.267,-49.58,,,10.21,-3.73,,0,0,4,Laredo,20,-99.0793,28.90055685
41373,South,PEARSALL 6,20.0,1.02,20.4,-50.63,,,0.0,0.0,,0,0,4,Laredo,20,-99.0793,28.89740514
41383,South,PEARSALL 7,20.0,1.02,20.4,-50.63,,,0.0,0.0,,0,0,4,Laredo,20,-99.0793,28.89425334
41393,South,SANDIA 0,115.0,0.98288,113.031,-54.81,10.62,3.01,,,,0,0,4,Corpus Christi,21,-97.953915,28.08204493
41403,South,SARITA 1 0,230.0,1.02845,236.544,-48.74,,,,,,0,0,4,Corpus Christi,21,-97.771167,27.21025033
41413,South,SARITA 1 1,115.0,1.02,117.3,-51.91,,,,,62.74,0,0,4,Corpus Christi,21,-97.753167,27.21025033
41423,South,SARITA 1 2,13.8,1.03924,14.342,-46.64,,,141.0,40.04,,0,0,4,Corpus Christi,21,-97.776567,27.20528772
41433,South,DILLEY 0,115.0,1.00143,115.165,-54.2,14.36,4.07,,,,0,0,4,Laredo,20,-99.182188,28.69392271
41443,South,ORANGE GROVE 0,115.0,0.98468,113.238,-56.12,16.36,4.63,,,,0,0,4,Corpus Christi,21,-98.051187,27.97670653
41453,South,PORTLAND 0,115.0,0.99251,114.138,-46.72,49.86,14.13,,,,0,0,4,Corpus Christi,21,-97.375238,27.87781302
41463,South,LAREDO 4 0,230.0,1.0214,234.923,-55.9,,,,,,0,0,4,Laredo,20,-99.339796,27.36075467
41473,South,LAREDO 4 1,115.0,1.02,117.3,-57.74,193.64,54.87,,,95.81,0,0,4,Laredo,20,-99.328996,27.36235329
41483,South,THREE RIVERS 0,115.0,0.98881,113.713,-57.96,14.64,4.15,,,,0,0,4,Laredo,20,-98.564186,28.29925349
41493,South,ROCKPORT 0,115.0,0.99398,114.308,-45.09,61.36,17.38,,,,0,0,4,Corpus Christi,21,-97.18789,28.10958778
41503,South,CORPUS CHRISTI 15 0,115.0,0.9884,113.666,-48.6,12.53,3.55,,,,0,0,4,Corpus Christi,21,-97.47222,27.71254345
41513,South,ARMSTRONG 1 0,230.0,1.02281,235.247,-49.97,,,,,,0,0,4,Corpus Christi,21,-97.5814,26.98345688
41523,South,ARMSTRONG 1 1,115.0,1.01835,117.11,-48.54,,,,,,0,0,4,Corpus Christi,21,-97.5634,26.98826891
41533,South,ARMSTRONG 1 2,18.0,1.03293,18.593,-48.13,,,212.4,60.32,,0,0,4,Corpus Christi,21,-97.5868,26.97367175
41543,South,PENITAS 0,115.0,0.99671,114.621,-67.89,26.32,7.46,,,,0,0,4,McAllen,19,-98.467164,26.31192635
41553,South,SULLIVAN CITY 0,115.0,1.00182,115.209,-65.79,19.45,5.51,,,,0,0,4,McAllen,19,-98.558191,26.24081174
41563,South,CORPUS CHRISTI 6 0,115.0,0.99172,114.048,-49.55,108.01,30.6,,,,0,0,4,Corpus Christi,21,-97.328845,27.69241684
41573,South,MISSION 2 0,115.0,1.00397,115.456,-70.33,104.67,29.66,,,,0,0,4,McAllen,19,-98.290977,26.28352349
41583,South,CORPUS CHRISTI 1 0,230.0,1.01403,233.226,-42.17,,,,,,0,0,4,Corpus Christi,21,-97.4463,27.80434734
41593,South,CORPUS CHRISTI 1 1,115.0,0.99891,114.874,-46.39,36.18,10.25,,,,0,0,4,Corpus Christi,21,-97.4283,27.80753166
41603,South,CORPUS CHRISTI 1 2,13.8,1.03,14.214,-39.57,,,197.22,68.62,,0,0,4,Corpus Christi,21,-97.4517,27.80578028
41613,South,CORPUS CHRISTI 1 3,13.8,1.03,14.214,-39.33,,,87.79,28.72,,0,0,4,Corpus Christi,21,-97.4517,27.80259592
41623,South,CORPUS CHRISTI 1 4,13.8,1.03,14.214,-38.58,,,112.46,27.68,,0,0,4,Corpus Christi,21,-97.4517,27.79941145
41633,South,CORPUS CHRISTI 1 5,13.8,1.01403,13.994,-42.17,,,0.0,0.0,,0,0,4,Corpus Christi,21,-97.4517,27.7962269
41643,South,GRULLA 0,115.0,1.002,115.23,-64.77,2.03,0.57,,,,0,0,4,McAllen,19,-98.645824,26.26514245
41653,South,SARITA 2 0,115.0,1.02097,117.411,-46.52,,,,,,0,0,4,Corpus Christi,21,-97.5391,27.10848474
41663,South,SARITA 2 1,13.8,1.00701,13.897,-42.63,,,150.75,-28.94,,0,0,4,Corpus Christi,21,-97.5283,27.11008699
41673,South,HARGILL 0,115.0,0.99451,114.368,-68.01,5.31,1.5,,,,0,0,4,McAllen,19,-97.912496,26.46776741
41683,South,CORPUS CHRISTI 14 0,115.0,0.99739,114.7,-46.7,8.87,2.51,,,,0,0,4,Corpus Christi,21,-97.436795,27.84062516
41693,South,MATHIS 0,115.0,0.98708,113.515,-52.23,27.68,7.84,,,,0,0,4,Corpus Christi,21,-97.799031,28.09213197
41703,South,ARANSAS PASS 0,115.0,0.98866,113.696,-46.96,35.86,10.16,,,,0,0,4,Corpus Christi,21,-97.083196,27.86348054
41713,South,SAN BENITO 0,115.0,1.00925,116.064,-62.49,167.63,47.5,,,101.86,0,0,4,McAllen,19,-97.620292,26.09315437
41723,South,PLEASANTON 0,115.0,1.00203,115.234,-50.91,42.31,11.99,,,,0,0,4,Laredo,20,-98.419996,28.92475137
41733,South,REFUGIO 0,115.0,0.99848,114.826,-40.64,12.05,3.42,,,,0,0,4,Corpus Christi,21,-96.890059,28.28163663
41743,South,LYTLE 0,115.0,1.01267,116.457,-57.74,19.16,5.43,,,87.17,0,0,4,Laredo,20,-98.773094,29.19990804
41753,South,LAREDO 2 0,115.0,1.02,117.3,-56.23,3.16,0.89,,,13.55,0,0,4,Laredo,20,-99.117085,27.74059577
41763,South,BRUNI 1 0,115.0,1.0345,118.967,-52.81,,,,,,0,0,4,Laredo,20,-98.894478,27.5665375
41773,South,BRUNI 1 1,13.8,1.04,14.352,-49.44,,,112.5,8.16,,0,0,4,Laredo,20,-98.883678,27.5665375
41783,South,GOLIAD 0,115.0,1.02,117.3,-46.81,17.46,4.95,,,45.36,0,0,4,Corpus Christi,21,-97.570237,28.5572115
41793,South,SAN DIEGO 0,115.0,1.00675,115.776,-58.43,19.92,5.64,,,,0,0,4,Laredo,20,-98.376775,27.84000847
41803,South,PORT ARANSAS 0,115.0,0.9864,113.437,-48.02,10.76,3.05,,,,0,0,4,Corpus Christi,21,-97.105983,27.7662884
41813,South,TAFT 1 0,230.0,1.02237,235.146,-39.37,,,150.07,42.62,,0,0,4,Corpus Christi,21,-97.2859,27.98467386
41823,South,TAFT 1 1,115.0,1.0029,115.334,-43.43,22.68,6.43,,,,0,0,4,Corpus Christi,21,-97.2751,27.98626338
41833,South,SAN PERLITA 0,230.0,1.01707,233.927,-49.91,,,152.25,43.24,,0,0,4,McAllen,19,-97.680311,26.46399886
41843,South,SAN PERLITA 1,115.0,1.00353,115.406,-57.69,,,,,,0,0,4,McAllen,19,-97.669511,26.46238746
41853,South,ZAPATA 0,115.0,1.01672,116.923,-58.88,37.84,10.72,,,21.33,0,0,4,McAllen,19,-99.153765,26.92129982
41863,South,SANTA ROSA 2 0,115.0,0.99729,114.688,-69.36,37.06,10.5,,,53.51,0,0,4,McAllen,19,-97.785892,26.33396514
41873,South,COTULLA 0,115.0,0.99239,114.125,-59.11,15.06,4.27,,,,0,0,4,Laredo,20,-99.205344,28.28366282
41883,South,QUEMADO 0,115.0,1.02248,117.586,-53.39,2.97,0.84,,,0.0,0,0,4,Laredo,20,-100.584386,28.94172222
41893,South,CARRIZO SPRINGS 0,115.0,0.98798,113.618,-57.02,29.89,8.47,,,,0,0,4,Laredo,20,-99.49948,28.51383195
41903,South,LAREDO 5 0,115.0,1.00556,115.639,-58.68,132.46,37.53,,,,0,0,4,Laredo,20,-99.431389,27.53423172
41913,South,RAYMONDVILLE 0,115.0,1.00046,115.053,-55.83,46.43,13.16,,,,0,0,4,McAllen,19,-97.433331,26.55642801
41923,South,BROWNSVILLE 1 0,230.0,1.02,234.6,-50.73,,,1144.03,175.43,,0,0,4,McAllen,19,-97.5106,25.89367013
41933,South,BROWNSVILLE 1 1,115.0,1.01269,116.459,-53.47,178.22,50.5,,,,0,0,4,McAllen,19,-97.4998,25.90014711
41943,South,SEBASTIAN 1 0,115.0,0.99947,114.939,-61.6,,,151.2,42.94,,0,0,4,McAllen,19,-97.6578,26.32956248
41953,South,OILTON 0,500.0,1.03057,515.286,-51.46,,,69.0,-13.25,,0,0,4,Laredo,20,-98.994478,27.47847483
41963,South,OILTON 1,230.0,1.02816,236.476,-52.96,,,,,0.0,0,0,4,Laredo,20,-98.983678,27.47687789
41973,South,OILTON 2,115.0,1.02349,117.702,-54.96,,,,,0.0,0,0,4,Laredo,20,-98.994478,27.46889283
50033,North Central,GARLAND 5 0,161.0,0.9882,159.1,-70.88,113.64,32.2,,,,0,0,5,Dallas,16,-96.671238,32.90747078
50043,North Central,KERENS 0,161.0,0.98669,158.857,-63.62,11.69,3.31,,,,0,0,5,Corsicana,14,-96.320632,32.14912147
50053,North Central,LIPAN 0,161.0,1.00935,162.505,-55.2,8.95,2.53,,,,0,0,5,Glen Rose,18,-97.999849,32.51790865
50063,North Central,DALLAS 24 0,161.0,0.99387,160.013,-70.41,100.19,28.39,,,,0,0,5,Dallas,16,-96.793734,32.9636583
50073,North Central,DENTON 4 0,161.0,0.99355,159.962,-66.11,72.05,20.42,,,,0,0,5,Fort Worth,17,-97.106282,33.22795541
50083,North Central,ALBANY 2 0,161.0,1.00614,161.989,-43.58,7.6,2.15,,,,0,0,5,Central Texas,15,-99.23284,32.77953806
50093,North Central,DALLAS 21 0,161.0,0.99586,160.333,-71.67,62.68,17.76,,,,0,0,5,Dallas,16,-96.786759,32.86065354
50103,North Central,PLANO 2 0,161.0,0.99544,160.265,-69.63,133.87,37.93,,,,0,0,5,Dallas,16,-96.669564,33.02673186
50113,North Central,THORNTON 0,161.0,1.00358,161.576,-55.47,7.64,2.17,,,,0,0,5,Waco,13,-96.599952,31.29035936
50123,North Central,DENTON 5 0,161.0,0.99132,159.602,-66.59,81.32,23.04,,,,0,0,5,Fort Worth,17,-97.142438,33.21735997
50133,North Central,EARLY 0,161.0,1.02,164.22,-51.51,19.34,5.48,,,37.73,0,0,5,Central Texas,15,-98.796134,31.83186068
50143,North Central,DECATUR 0,161.0,0.99452,160.118,-62.8,46.76,13.25,,,,0,0,5,Fort Worth,17,-97.505178,33.26728937
50153,North Central,KELLER 2 0,500.0,1.00319,501.593,-61.56,,,,,,0,0,5,Fort Worth,17,-97.279594,32.92320219
50163,North Central,KELLER 2 1,161.0,1.0013,161.21,-66.19,181.16,51.33,,,,0,0,5,Fort Worth,17,-97.275274,32.92259782
50173,North Central,PONDER 0,161.0,0.99129,159.598,-67.46,13.85,3.93,,,,0,0,5,Fort Worth,17,-97.308028,33.19448655
50183,North Central,JACKSBORO 1 0,500.0,1.00408,502.04,-48.69,,,,,,0,0,5,Jacksboro,12,-98.319652,33.05439298
50193,North Central,JACKSBORO 1 1,161.0,1.00148,161.238,-50.45,,,,,,0,0,5,Jacksboro,12,-98.301652,33.06042746
50203,North Central,JACKSBORO 1 2,13.8,1.0,13.8,-46.98,,,90.0,-11.79,,0,0,5,Jacksboro,12,-98.325052,33.04820718
50213,North Central,ALEDO 1 0,500.0,1.00031,500.153,-59.46,,,,,,0,0,5,Fort Worth,17,-97.507,32.71575389
50223,North Central,ALEDO 1 1,161.0,0.99761,160.616,-63.19,140.24,39.73,,,,0,0,5,Fort Worth,17,-97.4998,32.71454232
50233,North Central,ALEDO 1 2,13.8,1.00031,13.804,-59.46,,,0.0,0.0,,0,0,5,Fort Worth,17,-97.50916,32.71387595
50243,North Central,GATESVILLE 4 0,161.0,1.00256,161.413,-55.89,50.92,14.43,,,,0,0,5,Waco,13,-97.746604,31.40650263
50253,North Central,CLEBURNE 2 0,161.0,0.99472,160.149,-62.51,74.46,21.1,,,,0,0,5,Glen Rose,18,-97.499356,32.26448729
50263,North Central,FORT WORTH 14 0,161.0,0.98961,159.327,-67.69,71.11,20.15,,,,0,0,5,Fort Worth,17,-97.331506,32.63478479
50273,North Central,FORT WORTH 23 0,161.0,0.99298,159.87,-68.55,74.13,21.0,,,,0,0,5,Fort Worth,17,-97.413015,32.662456
50283,North Central,FORT WORTH 1 0,161.0,0.99799,160.677,-68.66,9.35,2.65,,,,0,0,5,Fort Worth,17,-97.045081,32.81913752
50293,North Central,TROY 0,161.0,1.00101,161.163,-54.81,12.77,3.62,,,,0,0,5,Waco,13,-97.256253,31.18666622
50303,North Central,SPRINGTOWN 0,161.0,0.98986,159.368,-66.29,79.61,22.55,,,,0,0,5,Jacksboro,12,-97.693,32.84943885
50313,North Central,PRINCETON 0,161.0,1.00199,161.321,-66.74,42.36,12.0,,,,0,0,5,Dallas,16,-96.479557,33.14813011
50323,North Central,DALLAS 27 0,161.0,0.99203,159.718,-69.81,47.16,13.36,,,,0,0,5,Dallas,16,-96.799081,32.74137271
50333,North Central,DALLAS 1 0,500.0,1.01083,505.414,-63.99,,,,,,0,0,5,Dallas,16,-96.637244,32.639517
50343,North Central,DALLAS 1 1,161.0,1.00452,161.728,-66.21,55.35,15.68,,,,0,0,5,Dallas,16,-96.630044,32.64376098
50353,North Central,DALLAS 1 2,13.2,1.01083,13.343,-63.99,,,0.0,0.0,,0,0,5,Dallas,16,-96.639404,32.64188152
50363,North Central,DALLAS 1 3,13.2,1.01083,13.343,-63.99,,,0.0,0.0,,0,0,5,Dallas,16,-96.639404,32.64066895
50373,North Central,DALLAS 1 4,13.2,1.02,13.464,-63.36,,,93.74,76.29,,0,0,5,Dallas,16,-96.639404,32.63945636
50383,North Central,DALLAS 1 5,13.2,1.02,13.464,-63.34,,,93.74,74.11,,0,0,5,Dallas,16,-96.639404,32.63824376
50393,North Central,DALLAS 1 6,13.2,1.01939,13.456,-63.71,,,93.74,157.01,,0,0,5,Dallas,16,-96.639404,32.63703114
50403,North Central,DALLAS 1 7,13.2,1.02,13.464,-63.14,,,93.74,55.86,,0,0,5,Dallas,16,-96.639404,32.6358185
50413,North Central,DALLAS 1 8,13.2,1.02,13.464,-63.4,,,93.74,80.68,,0,0,5,Dallas,16,-96.639404,32.63460584
50423,North Central,DALLAS 1 9,13.2,1.02,13.464,-63.29,,,93.74,69.22,,0,0,5,Dallas,16,-96.639404,32.63339317
50433,North Central,ROYSE CITY 0,161.0,0.98495,158.577,-69.77,68.1,19.29,,,,0,0,5,Dallas,16,-96.371725,32.94187763
50443,North Central,BOYD 0,161.0,0.99624,160.395,-63.17,17.5,4.96,,,,0,0,5,Fort Worth,17,-97.593483,33.03711343
50453,North Central,STEPHENVILLE 0,500.0,1.0102,505.098,-48.99,,,,,,0,0,5,Glen Rose,18,-98.185917,32.26853805
50463,North Central,STEPHENVILLE 1,161.0,1.00767,162.234,-51.03,77.11,21.85,,,,0,0,5,Glen Rose,18,-98.175117,32.27310393
50473,North Central,MANSFIELD 0,500.0,1.00821,504.104,-59.91,,,,,,0,0,5,Fort Worth,17,-97.184054,32.49911515
50483,North Central,MANSFIELD 1,161.0,0.99611,160.374,-64.26,184.54,52.29,,,,0,0,5,Fort Worth,17,-97.179734,32.49911515
50493,North Central,GREENVILLE 1 0,500.0,1.00615,503.076,-59.97,,,,,,0,0,5,Dallas,16,-96.1084,33.15563193
50503,North Central,GREENVILLE 1 1,161.0,1.00229,161.368,-64.46,64.6,18.3,,,,0,0,5,Dallas,16,-96.0904,33.16165946
50513,North Central,GREENVILLE 1 2,22.0,1.01321,22.291,-59.2,,,84.46,43.11,,0,0,5,Dallas,16,-96.1138,33.14794619
50523,North Central,GREENVILLE 1 3,115.0,1.00407,115.468,-63.17,,,,,,0,0,5,Dallas,16,-96.0904,33.15261799
50533,North Central,PLANO 4 0,161.0,0.98851,159.15,-69.59,152.78,43.29,,,,0,0,5,Dallas,16,-96.736408,33.08525907
50543,North Central,GROESBECK 0,161.0,0.99399,160.033,-57.45,21.17,6.0,,,,0,0,5,Corsicana,14,-96.511013,31.49384734
50553,North Central,GRAHAM 0,500.0,1.00285,501.424,-50.21,,,,,,0,0,5,Jacksboro,12,-98.5937,33.12234076
50563,North Central,GRAHAM 1,161.0,1.00139,161.224,-51.07,40.4,11.45,,,,0,0,5,Jacksboro,12,-98.5757,33.12535572
50573,North Central,GRAHAM 2,13.8,1.00285,13.839,-50.21,,,0.0,0.0,,0,0,5,Jacksboro,12,-98.5991,33.12068247
50583,North Central,GRAHAM 3,13.8,1.0,13.8,-47.44,,,251.16,-12.74,,0,0,5,Jacksboro,12,-98.5991,33.11766734
50593,North Central,MABANK 2 0,161.0,0.99549,160.275,-64.25,,,,,,0,0,5,Corsicana,14,-96.094532,32.26862748
50603,North Central,MABANK 2 1,115.0,0.99837,114.813,-66.61,,,,,,0,0,5,Corsicana,14,-96.083732,32.26862748
50613,North Central,MABANK 2 2,115.0,1.02,117.3,-69.97,,,,,34.82,0,0,5,Corsicana,14,-96.094532,32.25949503
50623,North Central,MABANK 2 3,115.0,0.99169,114.045,-74.34,43.74,12.39,,,,0,0,5,Corsicana,14,-96.083732,32.26101717
50633,North Central,ARLINGTON 1 0,500.0,1.01028,505.142,-62.19,,,,,,0,0,5,Fort Worth,17,-97.13489,32.76722276
50643,North Central,ARLINGTON 1 1,161.0,1.00147,161.237,-66.4,77.07,21.84,,,,0,0,5,Fort Worth,17,-97.12769,32.76843361
50653,North Central,ARLINGTON 1 2,13.8,1.01125,13.955,-62.08,,,10.57,5.4,,0,0,5,Fort Worth,17,-97.13705,32.7671622
50663,North Central,ARLINGTON 1 3,13.8,1.01028,13.942,-62.19,,,0.0,0.0,,0,0,5,Fort Worth,17,-97.13705,32.76595133
50673,North Central,ARLINGTON 1 4,13.8,1.03,14.214,-59.61,,,437.05,194.05,,0,0,5,Fort Worth,17,-97.13705,32.76474044
50683,North Central,ARLINGTON 1 5,13.8,1.03,14.214,-59.49,,,437.05,183.38,,0,0,5,Fort Worth,17,-97.13705,32.76352954
50693,North Central,ARLINGTON 1 6,13.8,1.03,14.214,-59.31,,,437.05,172.2,,0,0,5,Fort Worth,17,-97.13705,32.76231862
50703,North Central,DALLAS 41 0,161.0,0.99041,159.457,-70.3,74.65,21.15,,,,0,0,5,Fort Worth,17,-96.875231,32.77761391
50713,North Central,WACO 3 0,161.0,1.00972,162.564,-54.85,74.11,21.0,,,,0,0,5,Waco,13,-97.118249,31.56762261
50723,North Central,DALLAS 19 0,161.0,0.99377,159.996,-69.87,72.34,20.5,,,,0,0,5,Dallas,16,-96.784613,32.98891855
50733,North Central,BANGS 0,161.0,1.0174,163.802,-46.7,8.83,2.5,,,,0,0,5,Central Texas,15,-99.142374,31.69701541
50743,North Central,PROSPER 0,161.0,0.99543,160.264,-69.57,31.78,9.0,,,,0,0,5,Dallas,16,-96.804389,33.23768663
50753,North Central,EVANT 0,161.0,1.00235,161.378,-56.95,3.96,1.12,,,,0,0,5,Glen Rose,18,-98.040081,31.54470435
50763,North Central,TERRELL 1 0,161.0,1.00035,161.056,-71.67,,,,,,0,0,5,Dallas,16,-96.158366,32.73090035
50773,North Central,TERRELL 1 1,115.0,1.02,117.3,-72.66,18.49,5.24,,,78.98,0,0,5,Dallas,16,-96.147566,32.72938615
50783,North Central,AUBREY 0,161.0,0.98916,159.255,-66.89,66.42,18.82,,,,0,0,5,Fort Worth,17,-96.986519,33.26983714
50793,North Central,WACO 4 0,161.0,1.01351,163.175,-56.31,38.19,10.82,,,,0,0,5,Waco,13,-97.143983,31.50301371
50803,North Central,LORENA 0,161.0,0.99479,160.162,-57.2,37.61,10.66,,,,0,0,5,Waco,13,-97.193495,31.25787363
50813,North Central,FORT HOOD 0,161.0,0.99986,160.977,-55.86,89.83,25.45,,,,0,0,5,Waco,13,-97.752047,31.13285739
50823,North Central,ARLINGTON 5 0,161.0,0.99473,160.151,-69.67,102.22,28.96,,,,0,0,5,Fort Worth,17,-97.082917,32.68786331
50833,North Central,MCKINNEY 3 0,500.0,1.00905,504.526,-63.68,,,,,,0,0,5,Dallas,16,-96.69195,33.16721157
50843,North Central,MCKINNEY 3 1,161.0,0.99438,160.095,-67.98,224.2,63.52,,,,0,0,5,Dallas,16,-96.68763,33.16781426
50853,North Central,DALLAS 38 0,161.0,0.98811,159.085,-69.84,51.3,14.54,,,,0,0,5,Fort Worth,17,-96.869456,32.6619812
50863,North Central,ARLINGTON 9 0,161.0,0.98891,159.214,-69.24,92.04,26.08,,,,0,0,5,Fort Worth,17,-97.151428,32.71448182
50873,North Central,MILFORD 0,161.0,0.99066,159.496,-63.83,4.13,1.17,,,,0,0,5,Corsicana,14,-96.98347,32.12684303
50883,North Central,CLIFTON 1 0,161.0,0.99745,160.589,-59.16,,,,,,0,0,5,Glen Rose,18,-97.3577,31.85869879
50893,North Central,CLIFTON 1 1,13.8,0.99745,13.765,-59.16,,,0.0,0.0,,0,0,5,Glen Rose,18,-97.3631,31.85548817
50903,North Central,DALLAS 15 0,161.0,0.99722,160.553,-71.06,108.74,30.81,,,174.03,0,0,5,Dallas,16,-96.767591,32.82643891
50913,North Central,FROST 0,161.0,0.99061,159.489,-63.23,5.33,1.51,,,,0,0,5,Corsicana,14,-96.798932,32.02953149
50923,North Central,GRANDVIEW 0,161.0,0.99243,159.781,-67.15,17.62,4.99,,,,0,0,5,Corsicana,14,-97.15716,32.27666189
50933,North Central,HASLET 0,161.0,1.00556,161.895,-67.67,47.98,13.6,,,217.4,0,0,5,Fort Worth,17,-97.373655,32.9817924
50943,North Central,BARDWELL 0,161.0,1.00741,162.193,-61.04,2.66,0.75,,,,0,0,5,Corsicana,14,-96.743827,32.20198478
50953,North Central,LAKE DALLAS 0,161.0,1.00219,161.353,-69.58,32.24,9.14,,,,0,0,5,Fort Worth,17,-97.001869,33.10673241
50963,North Central,PLANO 1 0,161.0,0.99608,160.369,-68.67,61.74,17.49,,,,0,0,5,Dallas,16,-96.611882,33.01575586
50973,North Central,EULESS 2 0,161.0,0.99788,160.659,-68.01,82.57,23.4,,,,0,0,5,Fort Worth,17,-97.087723,32.80926598
50983,North Central,FORT WORTH 24 0,161.0,1.01154,162.858,-68.85,156.22,44.26,,,255.8,0,0,5,Fort Worth,17,-97.416975,32.57761108
50993,North Central,FLOWER MOUND 2 0,161.0,1.02,164.22,-69.85,67.63,19.16,,,169.37,0,0,5,Fort Worth,17,-97.121306,33.0312683
51003,North Central,DALLAS 11 0,161.0,0.99581,160.326,-69.43,22.45,6.36,,,,0,0,5,Dallas,16,-96.742762,32.76397527
51013,North Central,COMANCHE 0,161.0,1.01449,163.333,-52.7,22.63,6.41,,,,0,0,5,Central Texas,15,-98.605553,31.88193077
51023,North Central,RICHARDSON 2 0,500.0,1.00442,502.212,-64.72,,,,,,0,0,5,Dallas,16,-96.73776,32.97183486
51033,North Central,RICHARDSON 2 1,161.0,0.99481,160.164,-69.01,234.49,66.44,,,,0,0,5,Dallas,16,-96.73344,32.96941869
51043,North Central,FORT WORTH 8 0,161.0,0.98893,159.218,-67.21,79.02,22.39,,,,0,0,5,Fort Worth,17,-97.271334,32.61217407
51053,North Central,IRVING 1 0,161.0,0.99418,160.063,-70.71,105.27,29.83,,,,0,0,5,Fort Worth,17,-96.9858,32.91376028
51063,North Central,IRVING 1 1,13.8,0.99418,13.72,-70.71,,,0.0,0.0,,0,0,5,Fort Worth,17,-96.98796,32.91249096
51073,North Central,IRVING 1 2,13.8,0.99418,13.72,-70.71,,,0.0,0.0,,0,0,5,Fort Worth,17,-96.98796,32.91128207
51083,North Central,DALLAS 44 0,161.0,1.01095,162.764,-68.31,40.12,11.37,,,446.86,0,0,5,Fort Worth,17,-96.961022,32.62940722
51093,North Central,LANCASTER 1 0,161.0,0.98547,158.66,-69.2,53.98,15.29,,,,0,0,5,Dallas,16,-96.748561,32.55910302
51103,North Central,PALO PINTO 2 0,161.0,0.98804,159.074,-54.51,3.44,0.97,,,,0,0,5,Jacksboro,12,-98.267879,32.75501376
51113,North Central,ADDISON 0,161.0,0.99345,159.945,-71.11,37.24,10.55,,,,0,0,5,Dallas,16,-96.834922,32.95521394
51123,North Central,HICO 0,161.0,1.00922,162.485,-56.07,14.25,4.04,,,,0,0,5,Glen Rose,18,-97.8736,31.9892685
51133,North Central,KRUM 0,161.0,0.99866,160.785,-67.76,21.58,6.11,,,,0,0,5,Fort Worth,17,-97.298709,33.27460941
51143,North Central,KAUFMAN 0,161.0,0.98997,159.385,-69.18,56.95,16.13,,,,0,0,5,Dallas,16,-96.246103,32.55818178
51153,North Central,CADDO MILLS 0,161.0,1.01063,162.712,-67.2,17.73,5.02,,,,0,0,5,Dallas,16,-96.218534,33.0626636
51163,North Central,PLANO 7 0,161.0,0.99253,159.797,-70.5,141.56,40.11,,,,0,0,5,Dallas,16,-96.808007,33.029396
51173,North Central,FORT WORTH 5 0,161.0,0.98455,158.512,-69.21,128.28,36.35,,,,0,0,5,Fort Worth,17,-97.259025,32.68751124
51183,North Central,BAIRD 0,161.0,1.00539,161.868,-44.91,8.65,2.45,,,,0,0,5,Central Texas,15,-99.189272,32.33050592
51193,North Central,PERRIN 0,161.0,1.00075,161.121,-56.26,4.4,1.25,,,,0,0,5,Jacksboro,12,-98.044654,33.00592644
51203,North Central,BROWNWOOD 0,500.0,1.02372,511.861,-46.79,,,,,,0,0,5,Central Texas,15,-99.022091,31.73758775
51213,North Central,BROWNWOOD 1,161.0,1.0191,164.075,-47.41,76.66,21.72,,,31.16,0,0,5,Central Texas,15,-99.011291,31.73911858
51223,North Central,DALLAS 6 0,161.0,0.99312,159.893,-70.82,65.0,18.42,,,,0,0,5,Dallas,16,-96.698974,32.83775245
51233,North Central,MARLIN 0,161.0,1.00527,161.849,-52.82,,,,,,0,0,5,Waco,13,-96.803439,31.19469561
51243,North Central,MARLIN 1,115.0,1.00233,115.268,-51.87,26.69,7.56,,,,0,0,5,Waco,13,-96.792639,31.19315585
51253,North Central,ARLINGTON 6 0,161.0,0.99889,160.821,-67.35,67.92,19.24,,,,0,0,5,Fort Worth,17,-97.096452,32.77768799
51263,North Central,DALLAS 8 0,161.0,0.98785,159.044,-71.36,173.21,49.08,,,,0,0,5,Dallas,16,-96.733037,32.90840182
51273,North Central,JONESBORO 0,161.0,1.01064,162.714,-56.34,3.89,1.1,,,,0,0,5,Glen Rose,18,-97.795426,31.75829015
51283,North Central,DALLAS 33 0,161.0,0.99099,159.549,-70.59,90.51,25.65,,,,0,0,5,Dallas,16,-96.836013,32.74890222
51293,North Central,GOLDTHWAITE 2 0,161.0,1.02221,164.576,-51.18,14.89,4.22,,,,0,0,5,Glen Rose,18,-98.537717,31.6181606
